WBS #,Name / Title,Type,Start Date,End Date,Estimated Hours,Actual Hours,Percent Complete,Resources,Predecessors,Notes,Comments,Task Color
1,Project 1,project,7/16/18,1/1/19,0,0,0,,,,,
1.1,Task Group 1,group,7/16/18,9/3/18,0,0,0,,,,,
1.1.1,Task 1.1,task,7/16/18,7/27/18,0,0,0,,,,,blue2
1.1.2,Task 1.2,subgroup,7/30/18,8/17/18,0,0,0,,,,,
1.1.2.1,Task 1.1.1,task,7/30/18,8/10/18,0,0,0,,1.1.1,,,blue2
1.1.2.2,Task 1.1.2,task,8/13/18,8/17/18,0,0,0,,1.1.2.1,,,blue2
1.1.3,Task 1.3,task,8/20/18,8/31/18,0,0,0,,"1.1.1,1.1.2.2",,,blue2
1.1.4,Task 1.4,milestone,9/3/18,9/3/18,0,0,0,,,,,blue2
1.2,Task Group 2,group,7/23/18,11/16/18,0,0,0,,,,,
1.2.1,Task 2.1,subgroup,7/23/18,8/17/18,0,0,0,,,,,
1.2.1.1,Task 2.1.1,task,7/23/18,8/10/18,0,0,0,,,,,blue2
1.2.1.2,Task 2.1.2,task,8/13/18,8/17/18,0,0,0,,,,,blue2
1.2.2,Task 2.2,subgroup,8/6/18,10/5/18,0,0,0,,,,,
1.2.2.1,Task 2.2.1,task,8/6/18,8/17/18,0,0,0,,1.1.1,,,blue2
1.2.2.2,Task 2.2.2,task,8/20/18,8/31/18,0,0,0,,,,,blue2
1.2.2.3,Task 2.2.3,subgroup,8/6/18,10/5/18,0,0,0,,,,,
1.2.3,Task 2.3,subgroup,7/23/18,11/16/18,0,0,0,,,,,
1.2.3.1,Task 2.3.1,task,9/3/18,9/7/18,0,0,0,,1.1.3,,,blue2
1.2.3.2,Task 2.3.2,subgroup,7/23/18,10/19/18,0,0,0,,,,,
1.2.3.2.1,Task 2.3.2.1,task,7/23/18,8/3/18,0,0,0,,,,,blue2
1.2.3.2.2,Task 2.3.2.2,task,8/6/18,8/31/18,0,0,0,,,,,blue2
1.2.3.2.3,Task 2.3.2.3,task,9/3/18,9/21/18,0,0,0,,"1.2.1.1,1.2.3.2.1,1.2.3.2.2",,,blue2
1.2.3.3,Task 2.3.3,subgroup,10/22/18,11/16/18,0,0,0,,,,,
1.3,Task Group 3,group,10/22/18,11/19/18,0,0,0,,,,,
1.3.1,Task 3.1,task,10/22/18,11/16/18,0,0,0,,1.2.3.2.5,,,blue2
1.3.2,Task 3.2,milestone,11/19/18,11/19/18,0,0,0,,,,,blue2
1.4,Task Group 4,group,9/3/18,1/1/19,0,0,0,,,,,
1.4.1,Task 4.1,subgroup,9/3/18,11/23/18,0,0,0,,,,,
1.4.1.1,Task 4.1.1,task,9/3/18,9/14/18,0,0,0,,,,,blue2
1.4.1.2,Task 4.1.2,subgroup,9/10/18,11/9/18,0,0,0,,,,,
1.4.1.2.1,Task 4.1.2.1,task,9/17/18,9/28/18,0,0,0,,,,,blue2
1.4.1.2.2,Task 4.1.2.2,task,9/10/18,10/5/18,0,0,0,,,,,blue2
1.4.1.2.3,Task 4.1.2.3,task,10/8/18,10/19/18,0,0,0,,1.4.1.2.2,,,blue2
1.4.1.2.4,Task 4.1.2.4,task,10/22/18,11/9/18,0,0,0,,,,,blue2
1.4.1.3,Task 4.1.3,subgroup,11/12/18,11/23/18,0,0,0,,,,,
1.4.2,Task 4.2,subgroup,11/26/18,12/7/18,0,0,0,,,,,
1.4.3,Task 4.3,task,12/10/18,12/31/18,0,0,0,,,,,blue2
1.4.4,Task 4.4,milestone,1/1/19,1/1/19,0,0,0,,,,,blue2
