,Date Calculated
1,Project 1
1.1,Task Group 1
1.1.1,Task 1.1
1.1.2,Task 1.2
1.1.2.1,Task 1.1.1
1.1.2.2,Task 1.1.2
1.1.3,Task 1.3
1.1.4,Task 1.4
1.2,Task Group 2
1.2.1,Task 2.1
1.2.1.1,Task 2.1.1
1.2.1.2,Task 2.1.2
1.2.2,Task 2.2
1.2.2.1,Task 2.2.1
1.2.2.2,Task 2.2.2
1.2.2.3,Task 2.2.3
1.2.3,Task 2.3
1.2.3.1,Task 2.3.1
1.2.3.2,Task 2.3.2
1.2.3.2.1,Task 2.3.2.1
1.2.3.2.2,Task 2.3.2.2
1.2.3.2.3,Task 2.3.2.3
1.2.3.3,Task 2.3.3
1.3,Task Group 3
1.3.1,Task 3.1
1.3.2,Task 3.2
1.4,Task Group 4
1.4.1,Task 4.1
1.4.1.1,Task 4.1.1
1.4.1.2,Task 4.1.2
1.4.1.2.1,Task 4.1.2.1
1.4.1.2.2,Task 4.1.2.2
1.4.1.2.3,Task 4.1.2.3
1.4.1.2.4,Task 4.1.2.4
1.4.1.3,Task 4.1.3
1.4.2,Task 4.2
1.4.3,Task 4.3
1.4.4,Task 4.4
